d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
60.9690185,26.4388534,36.4651648,1.5710586,-0.0000347,8.0000000,0.0000000
61.1689169,26.2389785,36.4651132,1.5710496,-0.0000545,8.0000000,0.0000000
61.3688153,26.0390858,36.4650638,1.5710370,-0.0000718,8.0000000,0.0000000
61.5687138,25.8391656,36.4650172,1.5710211,-0.0000867,8.0000000,0.0000000
61.7686122,25.6392942,36.4649741,1.5710024,-0.0001001,8.0000000,0.0000000
61.9685106,25.4393892,36.4649350,1.5709813,-0.0001111,8.0000000,0.0000000
62.1684090,25.2394786,36.4649003,1.5709581,-0.0001201,8.0000000,0.0000000
62.3683074,25.0396079,36.4648704,1.5709333,-0.0001279,8.0000000,0.0000000
62.5682059,24.8396954,36.4648457,1.5709072,-0.0001334,8.0000000,0.0000000
62.7681043,24.6397917,36.4648262,1.5708800,-0.0001375,8.0000000,0.0000000
62.9680027,24.4399195,36.4648122,1.5708522,-0.0001404,8.0000000,0.0000000
63.1679011,24.2400035,36.4648039,1.5708241,-0.0001413,8.0000000,0.0000000
